#,Country,Total_cases,Total_deaths,Total_recovered,Population
1,USA,25561521,427588,15326868,332097997
2,India,10655435,153376,10316096,1387641848
3,Brazil,8816254,216475,7628438,213411432
4,Russia,3698273,68971,3109315,145969890
5,UK,3617459,97329,1616307,68087328
6,France,3035181,72877,216725,65355200
8,Italy,2455185,85162,1871189,60411435
9,Turkey,2424328,24933,2301861,84849626
10,Germany,2137689,52536,1795400,83935370
11,Colombia,2002969,50982,1822309,51188022
12,Argentina,1862192,46737,1646668,45429329
13,Mexico,1732290,147614,1291940,129694962
14,Poland,1470879,35253,1222782,37823122
15,South Africa,1404839,40574,1217492,59728863
16,Iran,1367032,57294,1158475,84596958
17,Ukraine,1187897,21778,942107,43584462
18,Peru,1093938,39608,1007748,33229711
19,Indonesia,977474,27664,791059,275150984
21,Czechia,933361,15270,808263,10720220
22,Canada,742531,18974,658984,37928559
23,Romania,709194,17722,650189,19164741
24,Chile,694647,17854,649802,19208645
25,Belgium,689271,20675,47820,11618113
26,Portugal,624469,10194,451324,10179844
27,Iraq,612870,12988,579838,40726276
28,Israel,593961,4341,512932,9197590
30,Bangladesh,531326,8003,475899,165612917
31,Pakistan,530818,11247,484508,223291362
32,Philippines,511679,10190,467886,110400232
33,Switzerland,509279,9050,317600,8690307
34,Morocco,465769,8128,441693,37156511
35,Austria,403512,7389,380248,9035401
36,Serbia,382285,3868,31536,8717395
37,Saudi Arabia,366185,6350,357728,35117920
38,Hungary,358317,11904,239880,9646439
39,Japan,356074,4935,285522,126256814
40,Jordan,319519,4217,306246,10260149
41,Panama,309851,5034,256597,4352853
42,Lebanon,276587,2270,164348,6808091
43,UAE,274376,783,247318,9957571
44,Nepal,269180,1994,263734,29430213
45,Georgia,252972,3038,240629,3984826
46,Ecuador,238232,14596,199332,17793334
47,Belarus,235859,1639,220912,9447562
48,Slovakia,234571,3965,186683,5461139
49,Azerbaijan,228688,3072,219724,10190648
50,Croatia,228568,4799,220537,4090880
51,Bulgaria,214696,8811,178888,6918698
52,Dominican Republic,202507,2513,147147,10909138
53,Bolivia,198257,9871,148750,11762431
54,Tunisia,195314,6154,141862,11888205
55,Denmark,193917,1969,178967,5803729
56,Costa Rica,189308,2518,146448,5120315
57,Ireland,186184,2947,23364,4968808
58,Malaysia,180455,667,137019,32598981
59,Lithuania,175851,2628,118893,2700612
60,Kazakhstan,175390,2403,158647,18902961
61,Armenia,165909,3034,154535,2966376
62,Egypt,161143,8902,126176,103414383
63,Kuwait,160901,952,153746,4306008
64,Slovenia,157293,3329,135262,2079100
65,Moldova,155937,3347,146406,4028647
66,Palestine,155006,1783,144297,5167567
67,Guatemala,153890,5456,137711,18101049
68,Greece,151646,5622,139581,10394142
69,Qatar,148772,248,144740,2807805
70,Honduras,139182,3439,60410,9992929
71,Myanmar,137098,3045,121124,54615532
72,Ethiopia,133298,2063,118730,116550414
73,Oman,132486,1517,124730,5178963
74,Paraguay,127081,2607,102344,7181779
75,Venezuela,122795,1136,114925,28390239
76,Nigeria,120602,1502,95901,208986596
77,Bosnia and Herzegovina,119420,4555,90691,3269222
78,Libya,112540,1737,90952,6923760
79,Algeria,105369,2861,71755,44294352
80,Kenya,99898,1740,82936,54432579
81,Bahrain,99456,367,96112,1734298
82,North Macedonia,90471,2779,76423,2083326
83,China,88911,4635,82526,1439323776
84,Kyrgyzstan,83796,1398,79772,6584521
85,Uzbekistan,78317,621,76778,33741419
86,S. Korea,74692,1337,62044,51294159
87,Albania,71441,1310,43384,2876016
88,Norway,60803,544,49835,5445134
89,Latvia,60496,1097,48134,1874316
90,Ghana,60115,361,56955,31435360
91,Singapore,59260,29,59015,5876275
92,Montenegro,57929,766,49150,628111
93,Sri Lanka,57587,280,49261,21463968
94,Afghanistan,54595,2378,46943,39417654
95,El Salvador,52672,1551,46370,6504683
96,Luxembourg,49581,564,46656,631686
97,Zambia,44592,627,34293,18670195
98,Finland,42334,644,31000,5545590
99,Estonia,40184,368,29747,1327040
100,Uganda,39044,317,13861,46542055
101,Uruguay,36967,367,28547,3480534
102,Namibia,32213,317,29831,2566666
103,Mozambique,31628,297,20002,31742268
104,Zimbabwe,31007,974,21377,14984341
105,Cyprus,29887,183,2057,1212315
106,Cameroon,29617,462,28045,26914047
107,Australia,28762,909,25975,25666242
108,Ivory Coast,26612,145,24595,26742265
109,Sudan,26279,1603,15688,44420337
110,Senegal,24459,569,20284,16989527
111,DRC,21713,654,14903,91072592
112,Cuba,20627,191,15881,11322699
113,Botswana,19654,105,15911,2378171
114,Angola,19367,457,17249,33433400
115,Madagascar,18301,273,17609,28087440
116,French Polynesia,17852,128,4842,281824
117,Malawi,17365,445,6408,19405200
118,Malta,16542,250,13646,442208
119,Mauritania,16357,416,15127,4717689
120,French Guiana,15664,76,9995,302992
121,Maldives,14885,50,13813,545876
122,Jamaica,14772,336,11850,2968467
123,Eswatini,14330,458,9102,1166924
124,Guinea,14300,81,13632,13330964
125,Syria,13557,879,6989,17737638
126,Cabo Verde,13414,124,12646,559384
127,Tajikistan,13308,90,13218,9657212
128,Thailand,13302,72,10448,69899018
129,Rwanda,12647,172,8319,13131128
130,Belize,11722,290,11050,401669
131,Haiti,11099,243,8982,11480655
132,Gabon,10278,67,9902,2255023
133,Hong Kong,10010,168,8997,7531257
134,Burkina Faso,9967,109,7988,21222074
135,Réunion,9701,45,9261,898915
136,Andorra,9499,96,8588,77335
137,Guadeloupe,8980,154,2242,400163
138,Bahamas,8101,175,6720,395360
139,Suriname,8000,148,7139,589592
140,Mali,7965,323,5705,20574930
141,Congo,7794,117,5846,5593780
142,Lesotho,7656,123,2168,2151820
143,Trinidad and Tobago,7462,134,7002,1402050
144,Mayotte,7250,58,2964,276485
145,Guyana,7222,170,6361,788695
146,Aruba,6708,56,6172,107022
147,Martinique,6327,44,98,375100
148,Nicaragua,6204,168,4225,6668861
149,Iceland,5981,29,5868,342492
150,Djibouti,5918,61,5837,996063
151,Equatorial Guinea,5401,86,5197,1428522
152,CAR,4974,63,4885,4876801
153,Somalia,4754,130,3666,16139757
154,Togo,4636,74,3976,8386946
155,Curaçao,4543,20,4419,164472
156,Niger,4321,151,3436,24690917
157,Gambia,3958,128,3703,2454412
158,Gibraltar,3935,62,3194,33685
159,South Sudan,3788,64,3542,11267510
160,Benin,3643,48,3317,12299967
161,Channel Islands,3430,79,3186,174765
162,Chad,3137,115,2240,16687780
163,Sierra Leone,3120,77,2187,8067658
164,San Marino,2874,65,2615,33971
165,Guinea-Bissau,2510,45,2405,1993941
166,Liechtenstein,2437,52,2322,38190
167,New Zealand,2276,25,2178,5002100
168,Comoros,2260,70,1315,879948
169,Yemen,2118,615,1423,30192717
170,Eritrea,1940,6,1304,3573978
171,Liberia,1914,84,1714,5123981
172,Sint Maarten,1724,27,1564,43150
173,Mongolia,1611,2,1125,3307885
174,Vietnam,1548,35,1411,97831852
175,Burundi,1380,2,773,12087422
176,Monaco,1345,9,1100,39399
177,Barbados,1341,9,622,287574
178,Turks and Caicos,1244,7,960,39011
179,Sao Tome and Principe,1188,17,997,221437
180,Saint Martin,1146,12,1006,39035
181,Seychelles,972,3,681,98691
182,Taiwan,884,7,783,23841161
183,Bhutan,854,1,702,776387
184,Papua New Guinea,835,9,790,9041850
185,Saint Lucia,770,10,412,184101
186,St. Vincent Grenadines,720,2,134,111139
188,Bermuda,686,12,625,62147
189,Faeroe Islands,652,1,644,48968
190,Mauritius,556,10,518,1272962
191,Tanzania,509,21,183,60679823
193,Isle of Man,432,25,364,85287
194,Cayman Islands,383,2,346,66156
195,Caribbean Netherlands,360,3,244,26360
196,St. Barth,300,1,204,9894
197,Antigua and Barbuda,195,6,162,98386
198,Brunei,175,3,169,439837
199,Grenada,139,1,129,112817
200,British Virgin Islands,114,1,95,30344
203,Fiji,55,2,53,900108
214,Montserrat,13,1,12,4994
215,Western Sahara,10,1,8,605524
